X;Y;Yp;Years
0;5;0.021;2004-2024
1;38;0.1597;2004-2024
2;57;0.2395;2004-2024
3;26;0.1092;2004-2024
4;22;0.0924;2004-2024
5;21;0.0882;2004-2024
6;14;0.0588;2004-2024
7;9;0.0378;2004-2024
8;10;0.042;2004-2024
9;5;0.021;2004-2024
10;4;0.0168;2004-2024
11;10;0.042;2004-2024
12;5;0.021;2004-2024
13;3;0.0126;2004-2024
14;7;0.0294;2004-2024
15;0;0;2004-2024
16;0;0;2004-2024
17;0;0;2004-2024
18;1;0.0042;2004-2024
19;1;0.0042;2004-2024
20;0;0;2004-2024
0;1;0.0044;1980-2000
1;32;0.1404;1980-2000
2;121;0.5307;1980-2000
3;25;0.1096;1980-2000
4;17;0.0746;1980-2000
5;9;0.0395;1980-2000
6;9;0.0395;1980-2000
7;2;0.0088;1980-2000
8;4;0.0175;1980-2000
9;3;0.0132;1980-2000
10;1;0.0044;1980-2000
11;1;0.0044;1980-2000
12;1;0.0044;1980-2000
13;1;0.0044;1980-2000
14;1;0.0044;1980-2000
15;0;0;1980-2000
16;0;0;1980-2000
17;0;0;1980-2000
18;0;0;1980-2000
19;0;0;1980-2000
20;0;0;1980-2000
